Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
-0.38280666E+01 0.72741618E+01-0.45423990E-01 0.17397926E-02 0.23456055E-03
-0.38116459E+01 0.74019818E+01-0.46257757E-01 0.18184699E-02 0.23193285E-03
-0.37955061E+01 0.75279863E+01-0.46645690E-01 0.17882120E-02 0.23119154E-03
-0.37795896E+01 0.76585561E+01-0.47577874E-01 0.18452180E-02 0.23001792E-03
-0.37638524E+01 0.77725150E+01-0.47842111E-01 0.18185101E-02 0.22689514E-03
-0.37482781E+01 0.78910688E+01-0.48479976E-01 0.18328148E-02 0.22546557E-03
-0.37329143E+01 0.80075626E+01-0.49049469E-01 0.18399448E-02 0.22219937E-03
-0.37177165E+01 0.81218287E+01-0.49800430E-01 0.18890759E-02 0.22521882E-03
-0.37027088E+01 0.82300139E+01-0.50374646E-01 0.19208095E-02 0.22413626E-03
-0.36879031E+01 0.83448895E+01-0.51192842E-01 0.19684126E-02 0.22442102E-03
-0.36732094E+01 0.84505245E+01-0.51714441E-01 0.19820913E-02 0.22591965E-03
-0.36586552E+01 0.85606808E+01-0.52599959E-01 0.20548767E-02 0.22659419E-03
-0.36441741E+01 0.86592338E+01-0.53293277E-01 0.21105744E-02 0.22301744E-03
-0.36298485E+01 0.87450748E+01-0.53210405E-01 0.20594960E-02 0.22089491E-03
-0.36156262E+01 0.88312660E+01-0.53143426E-01 0.20050378E-02 0.21924790E-03
-0.36015660E+01 0.89160250E+01-0.53083055E-01 0.19524460E-02 0.21980268E-03
-0.35875748E+01 0.89979133E+01-0.53127326E-01 0.19195348E-02 0.21842742E-03
-0.35737789E+01 0.90826979E+01-0.53056911E-01 0.18530910E-02 0.22054460E-03
-0.35600133E+01 0.91641374E+01-0.53254722E-01 0.18427770E-02 0.22302498E-03
-0.35464154E+01 0.92566925E+01-0.53898716E-01 0.18784625E-02 0.22098288E-03
-0.35329593E+01 0.93562428E+01-0.54878200E-01 0.19458419E-02 0.22132158E-03
-0.35195195E+01 0.94394203E+01-0.55254661E-01 0.19490503E-02 0.22211793E-03
-0.35061858E+01 0.95287839E+01-0.55974297E-01 0.19919855E-02 0.22403074E-03
-0.34929808E+01 0.96209751E+01-0.56902127E-01 0.20654817E-02 0.22272080E-03
